Year,energy(Kwh),Total_GW(MAF)
2005,1847931143,40.38
2006,1925586509,40.38
2007,2025430557,39.98
2008,2152338963,39.98
2009,2547233913,40.5
2010,2114796422,40.5
2011,1997848211,40.5
2012,1764068609,40.5
2013,2177661838,40.5
2014,1957001831,43.2
2015,2128712464,44
2016,2395961617,42
2017,2738130485,43.5
